481 California_Ave_&_Montrose_Ave 41.961068 -87.695439 15 7/7/2015 ...........
276 California_Ave_&_North_Ave 41.91044 -87.6972 11 9/12/2013 ................
338 Calumet_Ave_&_18th_St 41.857611 -87.619407 15 9/28/2013 ..................
370 Calumet_Ave_&_21st_St 41.85418425 -87.61915374 15 5/1/2015 ...............
149 Calumet_Ave_&_33rd_St 41.8349 -87.61793 11 8/3/2013 ......................
335 Calumet_Ave_&_35th_St 41.831379 -87.618034 15 10/17/2013 .................
415 Calumet_Ave_&_51st_St 41.80229465 -87.61805358 19 4/16/2015 ..............
393 Calumet_Ave_&_71st_St 41.76550801 -87.61691793 15 4/21/2015 ..............
504 Campbell_Ave_&_Fullerton_Ave 41.92463247 -87.68930701 15 5/21/2015 .......
482 Campbell_Ave_&_Montrose_Ave 41.96152593 -87.69116504 15 5/14/2015 ........
160 Campbell_Ave_&_North_Ave 41.910535 -87.689556 15 7/26/2013 ...............
192 Canal_St_&_Adams_St 41.879255 -87.639904 47 8/7/2013 .....................
169 Canal_St_&_Harrison_St 41.874337 -87.639566 15 7/23/2013 .................
75 Canal_St_&_Jackson_Blvd 41.878412 -87.641052 31 6/15/2013 .................
174 Canal_St_&_Madison_St 41.882091 -87.639833 27 7/28/2013 ..................
191 Canal_St_&_Monroe_St_(*) 41.880884 -87.639525 28 8/7/2013 ................
414 Canal_St_&_Taylor_St 41.870257 -87.639474 15 11/25/2015 ..................
34 Cannon_Dr_&_Fullerton_Ave 41.92675599 -87.63442878 15 6/27/2013 ...........
92 Carpenter_St_&_Huron_St 41.894556 -87.653449 19 6/26/2013 .................
550 Central_Ave_&_Chicago_Ave 41.894958 -87.764902 11 7/19/2016 ..............
541 Central_Ave_&_Harrison_St 41.872993 -87.764499 15 6/14/2016 ..............
531 Central_Ave_&_Lake_St 41.887664 -87.765469 15 7/27/2016 ..................
542 Central_Ave_&_Madison_St 41.880121 -87.763238 15 6/14/2016 ...............
500 Central_Park_Ave_&_Elbridge_Ave 41.93533728 -87.71688929 15 5/4/2015 .....
508 Central_Park_Ave_&_North_Ave 41.90965688 -87.71663195 15 4/30/2015 .......
438 Central_Park_Ave_&_Ogden_Ave 41.85420431 -87.71540584 19 4/29/2015 .......
533 Central_Park_Blvd_&_5th_Ave 41.875679 -87.71547 15 6/10/2016 .............
602 Central_St_&_Girard_Ave 42.063999 -87.685962 15 7/8/2016 .................
601 Central_St_Metra 42.063598 -87.69873 15 6/29/2016 ........................
578 Chappel_Ave_&_79th_St 41.751802 -87.574845 11 7/21/2016 ..................
603 Chicago_Ave_&_Sheridan_Rd 42.050491 -87.677821 15 7/1/2016 ...............
597 Chicago_Ave_&_Washington_St 42.032562 -87.679101 15 6/29/2016 ............
474 Christiana_Ave_&_Lawrence_Ave 41.96835449 -87.71183067 15 5/16/2015 ......
538 Cicero_Ave_&_Flournoy_St 41.872131 -87.746619 15 6/15/2016 ...............
529 Cicero_Ave_&_Lake_St 41.886841 -87.745261 15 6/10/2016 ...................
539 Cicero_Ave_&_Quincy_St 41.877613 -87.745405 15 6/14/2016 .................
196 Cityfront_Plaza_Dr_&_Pioneer_Ct 41.890573 -87.622072 19 8/10/2013 ........
159 Claremont_Ave_&_Hirsch_St 41.907781 -87.685854 11 7/26/2013 ..............
312 Clarendon_Ave_&_Gordon_Ter 41.957879 -87.649519 15 9/20/2013 .............
245 Clarendon_Ave_&_Junior_Ter 41.961004 -87.649603 15 8/26/2013 .............
251 Clarendon_Ave_&_Leland_Ave 41.967968 -87.650001 15 8/26/2013 .............
394 Clark_St_&_9th_St_(AMLI) 41.870816 -87.631246 15 8/26/2015 ...............
94 Clark_St_&_Armitage_Ave 41.918306 -87.636282 19 6/22/2013 .................
463 Clark_St_&_Berwyn_Ave 41.97799665 -87.6680471 19 5/14/2015 ...............
460 Clark_St_&_Bryn_Mawr_Ave 41.983593 -87.669154 15 5/11/2015 ...............
337 Clark_St_&_Chicago_Ave 41.896544 -87.630931 19 9/27/2013 .................
449 Clark_St_&_Columbia_Ave 42.00445063 -87.6724024 15 5/12/2015 .............
50 Clark_St_&_Congress_Pkwy 41.87593267 -87.63058454 27 6/16/2013 ............
176 Clark_St_&_Elm_St 41.902973 -87.63128 27 8/1/2013 ........................
457 Clark_St_&_Elmdale_Ave 41.99089375 -87.6695834 19 5/11/2015 ..............
165 Clark_St_&_Grace_St 41.95078 -87.659172 19 8/3/2013 ......................
517 Clark_St_&_Jarvis_Ave 42.015963 -87.675005 15 7/7/2016 ...................
38 Clark_St_&_Lake_St 41.88602083 -87.63087606 27 4/18/2015 ..................
326 Clark_St_&_Leland_Ave 41.967096 -87.667429 11 9/27/2013 ..................
141 Clark_St_&_Lincoln_Ave 41.915689 -87.6346 23 8/16/2013 ...................
432 Clark_St_&_Lunt_Ave 42.00906913 -87.67371139 19 5/15/2015 ................
234 Clark_St_&_Montrose_Ave 41.961588 -87.666036 19 8/21/2013 ................
126 Clark_St_&_North_Ave 41.911974 -87.631942 15 7/29/2013 ...................
51 Clark_St_&_Randolph_St 41.88457623 -87.63188991 31 6/17/2013 ..............
301 Clark_St_&_Schiller_St 41.907993 -87.631501 19 9/19/2013 .................
453 Clark_St_&_Schreiber_Ave 41.99925182 -87.67137734 15 5/12/2015 ...........
353 Clark_St_&_Touhy_Ave 42.01256012 -87.67436712 15 5/18/2015 ...............
156 Clark_St_&_Wellington_Ave 41.93649682 -87.64753866 15 8/2/2013 ...........
325 Clark_St_&_Winnemac_Ave 41.973385 -87.668365 19 9/23/2013 ................
340 Clark_St_&_Wrightwood_Ave 41.929546 -87.643118 15 10/24/2013 .............
223 Clifton_Ave_&_Armitage_Ave 41.918216 -87.656936 15 8/22/2013 .............
253 Clifton_Ave_&_Lawrence_Ave 41.968873 -87.658857 15 9/5/2013 ..............
170 Clinton_St_&_18th_St 41.85795 -87.640826 15 7/25/2013 ....................
66 Clinton_St_&_Lake_St 41.885637 -87.641823 23 6/20/2013 ....................
77 Clinton_St_&_Madison_St 41.882242 -87.641066 31 6/15/2013 .................
103 Clinton_St_&_Polk_St_(*) 41.87146652 -87.64094913 16 5/8/2015 ............
57 Clinton_St_&_Roosevelt_Rd 41.86711778 -87.64108796 15 6/17/2013 ...........
68 Clinton_St_&_Tilden_St 41.875885 -87.640795 23 6/24/2013 ..................
91 Clinton_St_&_Washington_Blvd 41.88338 -87.64117 31 6/15/2013 ..............
138 Clybourn_Ave_&_Division_St 41.904613 -87.640552 15 8/5/2013 ..............
195 Columbus_Dr_&_Randolph_St 41.884728 -87.619521 31 8/10/2013 ..............
581 Commercial_Ave_&_83rd_St 41.744607 -87.551201 15 8/18/2016 ...............
518 Conservatory_Dr_&_Lake_St 41.885502 -87.716866 15 6/2/2016 ...............
417 Cornell_Ave_&_Hyde_Park_Blvd 41.802406 -87.586924 19 4/16/2015 ...........
271 Cottage_Grove_Ave_&_43rd_St 41.816499 -87.606582 11 9/12/2013 ............
336 Cottage_Grove_Ave_&_47th_St 41.809855 -87.606755 15 10/17/2013 ...........
351 Cottage_Grove_Ave_&_51st_St 41.803038 -87.606615 15 10/17/2013 ...........
427 Cottage_Grove_Ave_&_63rd_St 41.78059901 -87.60611239 19 4/20/2015 ........
429 Cottage_Grove_Ave_&_67th_St 41.77372095 -87.60563486 15 4/21/2015 ........
400 Cottage_Grove_Ave_&_71st_St 41.76571904 -87.60495971 19 4/21/2015 ........
575 Cottage_Grove_Ave_&_78th_St 41.753174 -87.605026 11 7/20/2016 ............
585 Cottage_Grove_Ave_&_83rd_St 41.744053 -87.604786 11 7/25/2016 ............
265 Cottage_Grove_Ave_&_Oakwood_Blvd 41.822985 -87.6071 15 9/17/2013 .........
607 Cuyler_Ave_&_Augusta_St 41.898168 -87.783055 11 6/30/2016 ................
81 Daley_Center_Plaza 41.884241 -87.629634 39 6/13/2013 ......................
554 Damen_Ave_&_51st_St 41.800908 -87.674684 11 6/17/2016 ....................
561 Damen_Ave_&_61st_St 41.783681 -87.674101 11 6/21/2016 ....................
183 Damen_Ave_&_Augusta_Blvd 41.899714 -87.677234 15 7/26/2013 ...............
310 Damen_Ave_&_Charleston_St 41.920082 -87.677855 11 9/20/2013 ..............
128 Damen_Ave_&_Chicago_Ave 41.895769 -87.67722 15 8/3/2013 ..................
163 Damen_Ave_&_Clybourn_Ave 41.931931 -87.677856 15 7/29/2013 ...............
219 Damen_Ave_&_Cortland_St 41.916027 -87.677411 11 8/20/2013 ................
167 Damen_Ave_&_Coulter_St 41.8492 -87.67564 11 7/25/2013 ....................
124 Damen_Ave_&_Cullerton_St 41.855048 -87.675726 15 8/3/2013 ................
130 Damen_Ave_&_Division_St 41.90331 -87.67695 15 7/26/2013 ..................
464 Damen_Ave_&_Foster_Ave 41.9756148 -87.67945904 15 5/13/2015 ..............
557 Damen_Ave_&_Garfield_Blvd 41.794587 -87.674254 11 6/20/2016 ..............
214 Damen_Ave_&_Grand_Ave 41.89122 -87.67686 15 8/16/2013 ....................
242 Damen_Ave_&_Leland_Ave 41.967094 -87.679028 15 8/22/2013 .................
215 Damen_Ave_&_Madison_St 41.88137 -87.67493 15 8/15/2013 ...................
228 Damen_Ave_&_Melrose_Ave 41.9406 -87.6785 11 8/20/2013 ....................
546 Damen_Ave_&_Pershing_Rd 41.823192 -87.676597 11 6/16/2016 ................
69 Damen_Ave_&_Pierce_Ave 41.90939601 -87.67769193 19 6/24/2013 ..............
316 Damen_Ave_&_Sunnyside_Ave 41.96325 -87.679258 19 9/25/2013 ...............
162 Damen_Ave_&_Wellington_Ave 41.93588 -87.67842 15 7/25/2013 ...............
60 Dayton_St_&_North_Ave 41.91057803 -87.64942193 19 6/18/2013 ...............
140 Dearborn_Pkwy_&_Delaware_Pl 41.898969 -87.629912 19 8/1/2013 .............
37 Dearborn_St_&_Adams_St 41.87935636 -87.62979104 19 6/16/2013 ..............
110 Dearborn_St_&_Erie_St 41.893992 -87.629318 23 8/1/2013 ...................
49 Dearborn_St_&_Monroe_St 41.88131982 -87.62952092 27 6/16/2013 .............
107 Desplaines_St_&_Jackson_Blvd 41.878287 -87.643909 23 4/25/2015 ...........
56 Desplaines_St_&_Kinzie_St 41.88871604 -87.64444785 27 6/17/2013 ...........
96 Desplaines_St_&_Randolph_St 41.88461619 -87.64457058 23 4/25/2015 .........
600 Dodge_Ave_&_Church_St 42.048308 -87.698224 15 6/29/2016 ..................
416 Dorchester_Ave_&_49th_St 41.805772 -87.592464 15 4/16/2015 ...............
428 Dorchester_Ave_&_63rd_St 41.78040565 -87.59141599 15 4/20/2015 ...........
489 Drake_Ave_&_Addison_St 41.94678185 -87.71642152 23 5/13/2015 .............
503 Drake_Ave_&_Fullerton_Ave 41.92439882 -87.71544104 15 5/1/2015 ...........
479 Drake_Ave_&_Montrose_Ave 41.96115408 -87.71656907 11 5/5/2015 ............
6 Dusable_Harbor 41.88504199 -87.61279454 31 4/24/2015 .......................
422 DuSable_Museum 41.79156801 -87.60785218 15 7/7/2015 ......................
617 East_Ave_&_Garfield_St 41.871312 -87.788938 19 6/27/2016 .................
614 East_Ave_&_Madison_St 41.880113 -87.789247 15 6/28/2016 ..................
523 Eastlake_Ter_&_Rogers_Ave 42.021019 -87.665086 15 7/7/2016 ...............
431 Eberhart_Ave_&_61st_St 41.78414169 -87.61330783 15 4/20/2015 .............
86 Eckhart_Park 41.89637337 -87.66098386 15 6/26/2013 ........................
553 Elizabeth_St_&_47th_St 41.80839 -87.656526 11 6/16/2016 ..................
418 Ellis_Ave_&_53rd_St 41.79933626 -87.60095811 11 4/17/2015 ................
420 Ellis_Ave_&_55th_St 41.79430062 -87.60144977 19 4/17/2015 ................
328 Ellis_Ave_&_58th_St 41.788746 -87.601334 15 9/25/2013 ....................
426 Ellis_Ave_&_60th_St 41.78509715 -87.60107276 19 4/17/2015 ................
584 Ellis_Ave_&_83rd_St 41.744123 -87.599034 15 7/25/2016 ....................
598 Elmwood_Ave_&_Austin_St 42.025784 -87.684107 15 7/1/2016 .................
315 Elston_Ave_&_Wabansia_Ave 41.912919 -87.664169 23 9/21/2013 ..............
207 Emerald_Ave_&_28th_St 41.84358 -87.645368 15 8/15/2013 ...................
339 Emerald_Ave_&_31st_St 41.838198 -87.645143 11 9/28/2013 ..................
570 Evans_Ave_&_75th_St 41.758308 -87.606685 11 6/23/2016 ....................
580 Exchange_Ave_&_79th_St 41.751731 -87.552812 15 7/20/2016 .................
24 Fairbanks_Ct_&_Grand_Ave 41.89186 -87.62062 15 6/21/2013 ..................
436 Fairfield_Ave_&_Roosevelt_Rd 41.866624 -87.694521 15 4/27/2015 ...........
41 Federal_St_&_Polk_St 41.87207763 -87.62954377 19 4/25/2015 ................
7 Field_Blvd_&_South_Water_St 41.88634906 -87.61751655 19 4/18/2015 ..........
97 Field_Museum 41.865312 -87.617867 43 6/26/2013 ............................
89 Financial_Pl_&_Congress_Pkwy 41.87500913 -87.63310582 31 5/8/2015 .........
606 Forest_Ave_&_Chicago_Ave 41.894071 -87.800367 19 7/6/2016 ................
609 Forest_Ave_&_Lake_St 41.88891 -87.800255 15 6/30/2016 ....................
150 Fort_Dearborn_Dr_&_31st_St 41.838556 -87.608218 15 7/23/2013 .............
471 Francisco_Ave_&_Foster_Ave 41.97563273 -87.70141944 15 5/14/2015 .........
31 Franklin_St_&_Chicago_Ave 41.896776 -87.635633 23 6/22/2013 ...............
36 Franklin_St_&_Jackson_Blvd 41.87770796 -87.63532114 31 6/15/2013 ..........
164 Franklin_St_&_Lake_St 41.885837 -87.6355 23 8/3/2013 .....................
287 Franklin_St_&_Monroe_St 41.880317 -87.635185 27 9/13/2013 ................
286 Franklin_St_&_Quincy_St 41.878724 -87.634793 23 9/14/2013 ................
447 Glenwood_Ave_&_Morse_Ave 42.00797192 -87.66550239 15 5/15/2015 ...........
525 Glenwood_Ave_&_Touhy_Ave 42.012701 -87.666058 15 7/7/2016 ................
198 Green_St_&_Madison_St 41.881892 -87.648789 19 8/10/2013 ..................
112 Green_St_&_Randolph_St 41.883668 -87.64867 15 7/29/2013 ..................
319 Greenview_Ave_&_Diversey_Pkwy 41.932595 -87.665939 15 9/26/2013 ..........
188 Greenview_Ave_&_Fullerton_Ave 41.92533 -87.6658 15 7/29/2013 .............
520 Greenview_Ave_&_Jarvis_Ave 42.015962 -87.66857 23 7/7/2016 ...............
252 Greenwood_Ave_&_47th_St 41.809835 -87.599383 15 8/27/2013 ................
576 Greenwood_Ave_&_79th_St 41.751294 -87.597552 15 7/20/2016 ................
202 Halsted_St_&_18th_St 41.857499 -87.646277 15 8/15/2013 ...................
135 Halsted_St_&_21st_St 41.85378 -87.64665 11 7/24/2013 .....................
279 Halsted_St_&_35th_St_(*) 41.830661 -87.647172 16 9/13/2013 ...............
262 Halsted_St_&_37th_St 41.827059 -87.64572 11 10/1/2013 ....................
411 Halsted_St_&_47th_Pl 41.80813391 -87.64561655 11 4/15/2015 ...............
384 Halsted_St_&_51st_St 41.80183164 -87.6452139 15 4/15/2015 ................
386 Halsted_St_&_56th_St 41.79292965 -87.64499006 15 4/15/2015 ...............
593 Halsted_St_&_59th_St 41.787539 -87.644874 11 6/21/2016 ...................
388 Halsted_St_&_63rd_St 41.77938114 -87.64462081 15 4/21/2015 ...............
391 Halsted_St_&_69th_St 41.76906172 -87.64461358 15 4/21/2015 ...............
206 Halsted_St_&_Archer_Ave 41.847203 -87.646795 15 8/14/2013 ................
331 Halsted_St_&_Blackhawk_St_(*) 41.908537 -87.648627 20 9/28/2013 ..........
225 Halsted_St_&_Dickens_Ave 41.919936 -87.64883 15 8/19/2013 ................
332 Halsted_St_&_Diversey_Pkwy 41.933666 -87.648959 23 9/28/2013 .............
282 Halsted_St_&_Maxwell_St 41.864883 -87.647071 15 9/13/2013 ................
365 Halsted_St_&_North_Branch_St 41.89936844 -87.64847988 15 5/16/2015 .......
108 Halsted_St_&_Polk_St 41.87184 -87.64664 19 8/6/2013 ......................
55 Halsted_St_&_Roosevelt_Rd 41.867324 -87.648625 23 6/17/2013 ...............
299 Halsted_St_&_Roscoe_St 41.94367 -87.64895 15 9/19/2013 ...................
224 Halsted_St_&_Willow_St 41.913778 -87.64884 19 8/22/2013 ..................
349 Halsted_St_&_Wrightwood_Ave 41.929143 -87.649077 15 10/28/2013 ...........
220 Hampden_Ct_&_Diversey_Pkwy 41.93262 -87.642385 23 8/19/2013 ..............
425 Harper_Ave_&_59th_St 41.78794281 -87.58831517 15 4/17/2015 ...............
261 Hermitage_Ave_&_Polk_St 41.871514 -87.669886 15 9/5/2013 .................
551 Hoyne_Ave_&_47th_St 41.808227 -87.67718 11 6/17/2016 .....................
507 Humboldt_Blvd_&_Armitage_Ave 41.91751339 -87.70180896 19 5/1/2015 ........
372 Humboldt_Dr_&_Luis_Munoz_Marin_Dr 41.900146 -87.702882 15 4/30/2015 ......
608 Humphrey_Ave_&_Ontario_St 41.890491 -87.776842 11 6/30/2016 ..............
147 Indiana_Ave_&_26th_St 41.845435 -87.622176 15 7/23/2013 ..................
272 Indiana_Ave_&_31st_St 41.838842 -87.621857 11 9/12/2013 ..................
